Issue,year,value
Labor Rights ,2019-11-12,2733
Education & Student Debt,2019-11-12,7122
Economy,2019-11-13,11134
Climate and Energy,2019-11-13,5015
Defense,2019-11-13,7598
Taxes,2019-11-13,13617
Poverty,2019-11-13,1479
Healthcare,2019-11-13,13266
Economic Inequality,2019-11-13,5241
Civil Rights & Discrimination,2019-11-13,4689
Labor Rights ,2019-11-13,1354
Education & Student Debt,2019-11-13,8978
Economy,2019-11-14,13542
Climate and Energy,2019-11-14,10733
Defense,2019-11-14,12764
Taxes,2019-11-14,18934
Poverty,2019-11-14,3586
Healthcare,2019-11-14,10557
Economic Inequality,2019-11-14,6645
Civil Rights & Discrimination,2019-11-14,6570
Labor Rights ,2019-11-14,1304
Education & Student Debt,2019-11-14,14319
Economy,2019-11-15,8927
Climate and Energy,2019-11-15,9730
Defense,2019-11-15,4840
Taxes,2019-11-15,18507
Poverty,2019-11-15,2708
Healthcare,2019-11-15,34608
Economic Inequality,2019-11-15,4413
Civil Rights & Discrimination,2019-11-15,7999
Labor Rights ,2019-11-15,752
Education & Student Debt,2019-11-15,5793
Economy,2019-11-16,10332
Climate and Energy,2019-11-16,5266
Defense,2019-11-16,12112
Taxes,2019-11-16,13216
Poverty,2019-11-16,2808
Healthcare,2019-11-16,19460
Economic Inequality,2019-11-16,5492
Civil Rights & Discrimination,2019-11-16,7047
Labor Rights ,2019-11-16,1003
Education & Student Debt,2019-11-16,3761
Economy,2019-11-17,8526
Climate and Energy,2019-11-17,2557
Defense,2019-11-17,15974
Taxes,2019-11-17,23122
Poverty,2019-11-17,3962
Healthcare,2019-11-17,12990
Economic Inequality,2019-11-17,9805
Civil Rights & Discrimination,2019-11-17,11786
Labor Rights ,2019-11-17,1880
Education & Student Debt,2019-11-17,5467
Economy,2019-11-18,9153
Climate and Energy,2019-11-18,3385
Defense,2019-11-18,22018
Taxes,2019-11-18,27385
Poverty,2019-11-18,5316
Healthcare,2019-11-18,13040
Economic Inequality,2019-11-18,7347
Civil Rights & Discrimination,2019-11-18,11937
Labor Rights ,2019-11-18,4163
Education & Student Debt,2019-11-18,16025
Economy,2019-11-19,10633
Climate and Energy,2019-11-19,4288
Defense,2019-11-19,13291
Taxes,2019-11-19,25228
Poverty,2019-11-19,2833
Healthcare,2019-11-19,8075
Economic Inequality,2019-11-19,2307
Civil Rights & Discrimination,2019-11-19,11084
Labor Rights ,2019-11-19,5366
Education & Student Debt,2019-11-19,12915
Economy,2019-11-20,35435
Climate and Energy,2019-11-20,25203
Defense,2019-11-20,39824
Taxes,2019-11-20,32125
Poverty,2019-11-20,9304
Healthcare,2019-11-20,39247
Economic Inequality,2019-11-20,9855
Civil Rights & Discrimination,2019-11-20,27235
Labor Rights ,2019-11-20,6545
Education & Student Debt,2019-11-20,27786
Economy,2019-11-21,31523
Climate and Energy,2019-11-21,11260
Defense,2019-11-21,25103
Taxes,2019-11-21,21216
Poverty,2019-11-21,5266
Healthcare,2019-11-21,20840
Economic Inequality,2019-11-21,4238
Civil Rights & Discrimination,2019-11-21,19686
Labor Rights ,2019-11-21,4012
Education & Student Debt,2019-11-21,19987
Economy,2019-11-22,13391
Climate and Energy,2019-11-22,6721
Defense,2019-11-22,7423
Taxes,2019-11-22,8551
Poverty,2019-11-22,4789
Healthcare,2019-11-22,11887
Economic Inequality,2019-11-22,1253
Civil Rights & Discrimination,2019-11-22,8376
Labor Rights ,2019-11-22,1880
Education & Student Debt,2019-11-22,48576
Economy,2019-11-23,8601
Climate and Energy,2019-11-23,11510
Defense,2019-11-23,11335
Taxes,2019-11-23,8426
Poverty,2019-11-23,3435
Healthcare,2019-11-23,8978
Economic Inequality,2019-11-23,1479
Civil Rights & Discrimination,2019-11-23,7373
Labor Rights ,2019-11-23,2608
Education & Student Debt,2019-11-23,54670
Economy,2019-11-24,9278
Climate and Energy,2019-11-24,5015
Defense,2019-11-24,9454
Taxes,2019-11-24,7122
Poverty,2019-11-24,2858
Healthcare,2019-11-24,5642
Economic Inequality,2019-11-24,2557
Civil Rights & Discrimination,2019-11-24,8050
Labor Rights ,2019-11-24,1931
Education & Student Debt,2019-11-24,21592
Economy,2019-11-25,29291
Climate and Energy,2019-11-25,8827
Defense,2019-11-25,7423
Taxes,2019-11-25,18909
Poverty,2019-11-25,8300
Healthcare,2019-11-25,13868
Economic Inequality,2019-11-25,14996
Civil Rights & Discrimination,2019-11-25,9253
Labor Rights ,2019-11-25,2257
Education & Student Debt,2019-11-25,22094
Economy,2019-11-26,20313
Climate and Energy,2019-11-26,9329
Defense,2019-11-26,5391
Taxes,2019-11-26,21241
Poverty,2019-11-26,10031
Healthcare,2019-11-26,11159
Economic Inequality,2019-11-26,6319
Civil Rights & Discrimination,2019-11-26,27009
Labor Rights ,2019-11-26,1981
Education & Student Debt,2019-11-26,17554
Economy,2019-11-27,10683
Climate and Energy,2019-11-27,5968
Defense,2019-11-27,3611
Taxes,2019-11-27,31724
Poverty,2019-11-27,3435
Healthcare,2019-11-27,10959
Economic Inequality,2019-11-27,2307
Civil Rights & Discrimination,2019-11-27,12915
Labor Rights ,2019-11-27,1128
Education & Student Debt,2019-11-27,6420
Economy,2019-11-28,7072
Climate and Energy,2019-11-28,3385
Defense,2019-11-28,4363
Taxes,2019-11-28,31448
Poverty,2019-11-28,14194
Healthcare,2019-11-28,9454
Economic Inequality,2019-11-28,3109
Civil Rights & Discrimination,2019-11-28,9479
Labor Rights ,2019-11-28,1304
Education & Student Debt,2019-11-28,8626
Economy,2019-11-29,10257
Climate and Energy,2019-11-29,3962
Defense,2019-11-29,3611
Taxes,2019-11-29,31999
Poverty,2019-11-29,13115
Healthcare,2019-11-29,7924
Economic Inequality,2019-11-29,9429
Civil Rights & Discrimination,2019-11-29,7297
Labor Rights ,2019-11-29,877
Education & Student Debt,2019-11-29,21592
Economy,2019-11-30,29341
Climate and Energy,2019-11-30,3811
Defense,2019-11-30,3084
Taxes,2019-11-30,22319
Poverty,2019-11-30,5968
Healthcare,2019-11-30,5717
Economic Inequality,2019-11-30,7573
Civil Rights & Discrimination,2019-11-30,7297
Labor Rights ,2019-11-30,2507
Education & Student Debt,2019-11-30,15949
Economy,2019-12-01,18206
Climate and Energy,2019-12-01,13893
Defense,2019-12-01,2382
Taxes,2019-12-01,9755
Poverty,2019-12-01,5065
Healthcare,2019-12-01,7147
Economic Inequality,2019-12-01,8677
Civil Rights & Discrimination,2019-12-01,13341
Labor Rights ,2019-12-01,3962
Education & Student Debt,2019-12-01,17630
Economy,2019-12-02,8526
Climate and Energy,2019-12-02,26482
Defense,2019-12-02,1655
Taxes,2019-12-02,17504
Poverty,2019-12-02,4338
Healthcare,2019-12-02,12965
Economic Inequality,2019-12-02,4764
Civil Rights & Discrimination,2019-12-02,8978
Labor Rights ,2019-12-02,2583
Education & Student Debt,2019-12-02,14169
Economy,2019-12-03,10633
Climate and Energy,2019-12-03,18583
Defense,2019-12-03,3260
Taxes,2019-12-03,10934
Poverty,2019-12-03,3435
Healthcare,2019-12-03,31548
Economic Inequality,2019-12-03,2407
Civil Rights & Discrimination,2019-12-03,22771
Labor Rights ,2019-12-03,1780
Education & Student Debt,2019-12-03,13341
Economy,2019-12-04,16551
Climate and Energy,2019-12-04,10382
Defense,2019-12-04,8576
Taxes,2019-12-04,12614
Poverty,2019-12-04,6846
Healthcare,2019-12-04,17805
Economic Inequality,2019-12-04,7924
Civil Rights & Discrimination,2019-12-04,20012
Labor Rights ,2019-12-04,7849
Education & Student Debt,2019-12-04,10257
Economy,2019-12-05,16351
Climate and Energy,2019-12-05,25379
Defense,2019-12-05,5793
Taxes,2019-12-05,15849
Poverty,2019-12-05,7222
Healthcare,2019-12-05,16927
Economic Inequality,2019-12-05,4037
Civil Rights & Discrimination,2019-12-05,20564
Labor Rights ,2019-12-05,2633
Education & Student Debt,2019-12-05,21416
Economy,2019-12-06,27686
Climate and Energy,2019-12-06,20689
Defense,2019-12-06,4313
Taxes,2019-12-06,18156
Poverty,2019-12-06,5968
Healthcare,2019-12-06,8476
Economic Inequality,2019-12-06,1981
Civil Rights & Discrimination,2019-12-06,14043
Labor Rights ,2019-12-06,2006
Education & Student Debt,2019-12-06,14269
Economy,2019-12-07,19611
Climate and Energy,2019-12-07,14971
Defense,2019-12-07,3435
Taxes,2019-12-07,12388
Poverty,2019-12-07,6620
Healthcare,2019-12-07,9931
Economic Inequality,2019-12-07,1479
Civil Rights & Discrimination,2019-12-07,8451
Labor Rights ,2019-12-07,2282
Education & Student Debt,2019-12-07,20940
Economy,2019-12-08,14971
Climate and Energy,2019-12-08,8451
Defense,2019-12-08,4865
Taxes,2019-12-08,11561
Poverty,2019-12-08,7774
Healthcare,2019-12-08,14294
Economic Inequality,2019-12-08,3310
Civil Rights & Discrimination,2019-12-08,13115
Labor Rights ,2019-12-08,4087
Education & Student Debt,2019-12-08,16326
Economy,2019-12-09,12689
Climate and Energy,2019-12-09,5166
Defense,2019-12-09,9880
Taxes,2019-12-09,8275
Poverty,2019-12-09,2633
Healthcare,2019-12-09,20163
Economic Inequality,2019-12-09,1755
Civil Rights & Discrimination,2019-12-09,9755
Labor Rights ,2019-12-09,2432
Education & Student Debt,2019-12-09,8652
Economy,2019-12-10,14645
Climate and Energy,2019-12-10,10708
Defense,2019-12-10,7673
Taxes,2019-12-10,4564
Poverty,2019-12-10,9329
Healthcare,2019-12-10,13065
Economic Inequality,2019-12-10,1153
Civil Rights & Discrimination,2019-12-10,7322
Labor Rights ,2019-12-10,4664
Education & Student Debt,2019-12-10,12112
Economy,2019-12-11,15999
Climate and Energy,2019-12-11,11285
Defense,2019-12-11,7899
Taxes,2019-12-11,4664
Poverty,2019-12-11,8601
Healthcare,2019-12-11,12890
Economic Inequality,2019-12-11,1329
Civil Rights & Discrimination,2019-12-11,10457
Labor Rights ,2019-12-11,4689
Education & Student Debt,2019-12-11,7147
Economy,2019-12-12,13316
Climate and Energy,2019-12-12,10658
Defense,2019-12-12,5316
Taxes,2019-12-12,10206
Poverty,2019-12-12,9755
Healthcare,2019-12-12,13768
Economic Inequality,2019-12-12,2006
Civil Rights & Discrimination,2019-12-12,10106
Labor Rights ,2019-12-12,4764
Education & Student Debt,2019-12-12,6595
Economy,2019-12-13,11460
Climate and Energy,2019-12-13,9053
Defense,2019-12-13,7272
Taxes,2019-12-13,4890
Poverty,2019-12-13,3686
Healthcare,2019-12-13,11937
Economic Inequality,2019-12-13,1278
Civil Rights & Discrimination,2019-12-13,18858
Labor Rights ,2019-12-13,9028
Education & Student Debt,2019-12-13,10482
Economy,2019-12-14,9755
Climate and Energy,2019-12-14,5391
Defense,2019-12-14,6645
Taxes,2019-12-14,11862
Poverty,2019-12-14,4263
Healthcare,2019-12-14,13717
Economic Inequality,2019-12-14,1429
Civil Rights & Discrimination,2019-12-14,13592
Labor Rights ,2019-12-14,4062
Education & Student Debt,2019-12-14,17931
Economy,2019-12-15,10909
Climate and Energy,2019-12-15,7999
Defense,2019-12-15,7924
Taxes,2019-12-15,9053
Poverty,2019-12-15,2934
Healthcare,2019-12-15,23222
Economic Inequality,2019-12-15,802
Civil Rights & Discrimination,2019-12-15,8601
Labor Rights ,2019-12-15,2357
Education & Student Debt,2019-12-15,11435
Economy,2019-12-16,15548
Climate and Energy,2019-12-16,4940
Defense,2019-12-16,5166
Taxes,2019-12-16,29266
Poverty,2019-12-16,3059
Healthcare,2019-12-16,21090
Economic Inequality,2019-12-16,3786
Civil Rights & Discrimination,2019-12-16,8727
Labor Rights ,2019-12-16,9278
Education & Student Debt,2019-12-16,13742
Economy,2019-12-17,9404
Climate and Energy,2019-12-17,3235
Defense,2019-12-17,5717
Taxes,2019-12-17,22821
Poverty,2019-12-17,5442
Healthcare,2019-12-17,18507
Economic Inequality,2019-12-17,2658
Civil Rights & Discrimination,2019-12-17,6319
Labor Rights ,2019-12-17,2557
Education & Student Debt,2019-12-17,11561
Economy,2019-12-18,11235
Climate and Energy,2019-12-18,6094
Defense,2019-12-18,8777
Taxes,2019-12-18,7648
Poverty,2019-12-18,2658
Healthcare,2019-12-18,18959
Economic Inequality,2019-12-18,5090
Civil Rights & Discrimination,2019-12-18,4639
Labor Rights ,2019-12-18,1655
Education & Student Debt,2019-12-18,9579
Economy,2019-12-19,65404
Climate and Energy,2019-12-19,37843
Defense,2019-12-19,13216
Taxes,2019-12-19,19561
Poverty,2019-12-19,13918
Healthcare,2019-12-19,32476
Economic Inequality,2019-12-19,6344
Civil Rights & Discrimination,2019-12-19,44589
Labor Rights ,2019-12-19,5918
Education & Student Debt,2019-12-19,19912
Economy,2019-12-20,64125
Climate and Energy,2019-12-20,28489
Defense,2019-12-20,6369
Taxes,2019-12-20,22094
Poverty,2019-12-20,11561
Healthcare,2019-12-20,16501
Economic Inequality,2019-12-20,5040
Civil Rights & Discrimination,2019-12-20,29692
Labor Rights ,2019-12-20,5416
Education & Student Debt,2019-12-20,17203
Economy,2019-12-21,26808
Climate and Energy,2019-12-21,16200
Defense,2019-12-21,3034
Taxes,2019-12-21,12238
Poverty,2019-12-21,3887
Healthcare,2019-12-21,11485
Economic Inequality,2019-12-21,3285
Civil Rights & Discrimination,2019-12-21,9479
Labor Rights ,2019-12-21,4514
Education & Student Debt,2019-12-21,17329
Economy,2019-12-22,15673
Climate and Energy,2019-12-22,14119
Defense,2019-12-22,2884
Taxes,2019-12-22,10532
Poverty,2019-12-22,3536
Healthcare,2019-12-22,5893
Economic Inequality,2019-12-22,2056
Civil Rights & Discrimination,2019-12-22,13617
Labor Rights ,2019-12-22,1680
Education & Student Debt,2019-12-22,8075
Economy,2019-12-23,20940
Climate and Energy,2019-12-23,13968
Defense,2019-12-23,6068
Taxes,2019-12-23,20438
Poverty,2019-12-23,6796
Healthcare,2019-12-23,18808
Economic Inequality,2019-12-23,1404
Civil Rights & Discrimination,2019-12-23,8075
Labor Rights ,2019-12-23,1379
Education & Student Debt,2019-12-23,4764
Economy,2019-12-24,14169
Climate and Energy,2019-12-24,9705
Defense,2019-12-24,5241
Taxes,2019-12-24,10658
Poverty,2019-12-24,16175
Healthcare,2019-12-24,11235
Economic Inequality,2019-12-24,2608
Civil Rights & Discrimination,2019-12-24,4940
Labor Rights ,2019-12-24,1931
Education & Student Debt,2019-12-24,5166
Economy,2019-12-25,11059
Climate and Energy,2019-12-25,3109
Defense,2019-12-25,2482
Taxes,2019-12-25,5918
Poverty,2019-12-25,10708
Healthcare,2019-12-25,5065
Economic Inequality,2019-12-25,1429
Civil Rights & Discrimination,2019-12-25,3435
Labor Rights ,2019-12-25,1028
Education & Student Debt,2019-12-25,4137
Economy,2019-12-26,29818
Climate and Energy,2019-12-26,7197
Defense,2019-12-26,5617
Taxes,2019-12-26,19360
Poverty,2019-12-26,18332
Healthcare,2019-12-26,11109
Economic Inequality,2019-12-26,1755
Civil Rights & Discrimination,2019-12-26,5416
Labor Rights ,2019-12-26,1454
Education & Student Debt,2019-12-26,5567
Economy,2019-12-27,17379
Climate and Energy,2019-12-27,8075
Defense,2019-12-27,5216
Taxes,2019-12-27,19485
Poverty,2019-12-27,9630
Healthcare,2019-12-27,13416
Economic Inequality,2019-12-27,6445
Civil Rights & Discrimination,2019-12-27,5567
Labor Rights ,2019-12-27,1780
Education & Student Debt,2019-12-27,5592
Economy,2019-12-28,17028
Climate and Energy,2019-12-28,2959
Defense,2019-12-28,4338
Taxes,2019-12-28,17329
Poverty,2019-12-28,5768
Healthcare,2019-12-28,13868
Economic Inequality,2019-12-28,10507
Civil Rights & Discrimination,2019-12-28,7373
Labor Rights ,2019-12-28,1329
Education & Student Debt,2019-12-28,4514
Economy,2019-12-29,12940
Climate and Energy,2019-12-29,2557
Defense,2019-12-29,11134
Taxes,2019-12-29,13843
Poverty,2019-12-29,5793
Healthcare,2019-12-29,16200
Economic Inequality,2019-12-29,6996
Civil Rights & Discrimination,2019-12-29,5793
Labor Rights ,2019-12-29,2808
Education & Student Debt,2019-12-29,7573
Economy,2019-12-30,17755
Climate and Energy,2019-12-30,10532
Defense,2019-12-30,10006
Taxes,2019-12-30,32426
Poverty,2019-12-30,6018
Healthcare,2019-12-30,17905
Economic Inequality,2019-12-30,2081
Civil Rights & Discrimination,2019-12-30,19636
Labor Rights ,2019-12-30,7974
Education & Student Debt,2019-12-30,17529
Economy,2019-12-31,21642
Climate and Energy,2019-12-31,15999
Defense,2019-12-31,10984
Taxes,2019-12-31,10783
Poverty,2019-12-31,4489
Healthcare,2019-12-31,14645
Economic Inequality,2019-12-31,1805
Civil Rights & Discrimination,2019-12-31,9429
Labor Rights ,2019-12-31,3686
Education & Student Debt,2019-12-31,10307
Economy,2020-01-01,11686
Climate and Energy,2020-01-01,19335
Defense,2020-01-01,12413
Taxes,2020-01-01,4438
Poverty,2020-01-01,3184
Healthcare,2020-01-01,9053
Economic Inequality,2020-01-01,1028
Civil Rights & Discrimination,2020-01-01,7322
Labor Rights ,2020-01-01,3987
Education & Student Debt,2020-01-01,5943
Economy,2020-01-02,18733
Climate and Energy,2020-01-02,37065
Defense,2020-01-02,21166
Taxes,2020-01-02,9253
Poverty,2020-01-02,4890
Healthcare,2020-01-02,11435
Economic Inequality,2020-01-02,2081
Civil Rights & Discrimination,2020-01-02,12865
Labor Rights ,2020-01-02,5090
Education & Student Debt,2020-01-02,8351
Economy,2020-01-03,11761
Climate and Energy,2020-01-03,11260
Defense,2020-01-03,89956
Taxes,2020-01-03,10833
Poverty,2020-01-03,3761
Healthcare,2020-01-03,5793
Economic Inequality,2020-01-03,18181
Civil Rights & Discrimination,2020-01-03,3460
Labor Rights ,2020-01-03,2633
Education & Student Debt,2020-01-03,7874
Economy,2020-01-04,10482
Climate and Energy,2020-01-04,12188
Defense,2020-01-04,36589
Taxes,2020-01-04,25053
Poverty,2020-01-04,2507
Healthcare,2020-01-04,9730
Economic Inequality,2020-01-04,24978
Civil Rights & Discrimination,2020-01-04,3786
Labor Rights ,2020-01-04,2106
Education & Student Debt,2020-01-04,9178
Economy,2020-01-05,6194
Climate and Energy,2020-01-05,6394
Defense,2020-01-05,34482
Taxes,2020-01-05,6670
Poverty,2020-01-05,2382
Healthcare,2020-01-05,24777
Economic Inequality,2020-01-05,4965
Civil Rights & Discrimination,2020-01-05,3510
Labor Rights ,2020-01-05,2156
Education & Student Debt,2020-01-05,5617
Economy,2020-01-06,19084
Climate and Energy,2020-01-06,8927
Defense,2020-01-06,30746
Taxes,2020-01-06,6219
Poverty,2020-01-06,3736
Healthcare,2020-01-06,15799
Economic Inequality,2020-01-06,3385
Civil Rights & Discrimination,2020-01-06,8075
Labor Rights ,2020-01-06,9504
Education & Student Debt,2020-01-06,5667
Economy,2020-01-07,17655
Climate and Energy,2020-01-07,5366
Defense,2020-01-07,48551
Taxes,2020-01-07,10733
Poverty,2020-01-07,1981
Healthcare,2020-01-07,9981
Economic Inequality,2020-01-07,1253
Civil Rights & Discrimination,2020-01-07,3586
Labor Rights ,2020-01-07,2658
Education & Student Debt,2020-01-07,7021
Economy,2020-01-08,14219
Climate and Energy,2020-01-08,2758
Defense,2020-01-08,36589
Taxes,2020-01-08,7347
Poverty,2020-01-08,2858
Healthcare,2020-01-08,6319
Economic Inequality,2020-01-08,2006
Civil Rights & Discrimination,2020-01-08,9278
Labor Rights ,2020-01-08,4112
Education & Student Debt,2020-01-08,12037
Economy,2020-01-09,10984
Climate and Energy,2020-01-09,20990
Defense,2020-01-09,29993
Taxes,2020-01-09,5241
Poverty,2020-01-09,4739
Healthcare,2020-01-09,8175
Economic Inequality,2020-01-09,1203
Civil Rights & Discrimination,2020-01-09,10884
Labor Rights ,2020-01-09,2106
Education & Student Debt,2020-01-09,10432
Economy,2020-01-10,17003
Climate and Energy,2020-01-10,20112
Defense,2020-01-10,13667
Taxes,2020-01-10,10934
Poverty,2020-01-10,5266
Healthcare,2020-01-10,14896
Economic Inequality,2020-01-10,8952
Civil Rights & Discrimination,2020-01-10,6470
Labor Rights ,2020-01-10,4313
Education & Student Debt,2020-01-10,8476
Economy,2020-01-11,17329
Climate and Energy,2020-01-11,10407
Defense,2020-01-11,21893
Taxes,2020-01-11,5742
Poverty,2020-01-11,4739
Healthcare,2020-01-11,11210
Economic Inequality,2020-01-11,4589
Civil Rights & Discrimination,2020-01-11,7122
Labor Rights ,2020-01-11,2683
Education & Student Debt,2020-01-11,8175
Economy,2020-01-12,30194
Climate and Energy,2020-01-12,19862
Defense,2020-01-12,13416
Taxes,2020-01-12,11184
Poverty,2020-01-12,6269
Healthcare,2020-01-12,14996
Economic Inequality,2020-01-12,1579
Civil Rights & Discrimination,2020-01-12,14721
Labor Rights ,2020-01-12,3059
Education & Student Debt,2020-01-12,16275
Economy,2020-01-13,25228
Climate and Energy,2020-01-13,16626
Defense,2020-01-13,11360
Taxes,2020-01-13,11736
Poverty,2020-01-13,7172
Healthcare,2020-01-13,41178
Economic Inequality,2020-01-13,3611
Civil Rights & Discrimination,2020-01-13,36764
Labor Rights ,2020-01-13,5492
Education & Student Debt,2020-01-13,15548
Economy,2020-01-14,43862
Climate and Energy,2020-01-14,46620
Defense,2020-01-14,65905
Taxes,2020-01-14,26081
Poverty,2020-01-14,13442
Healthcare,2020-01-14,71448
Economic Inequality,2020-01-14,7874
Civil Rights & Discrimination,2020-01-14,46244
Labor Rights ,2020-01-14,16100
Education & Student Debt,2020-01-14,48827
Economy,2020-01-15,43937
Climate and Energy,2020-01-15,28965
Defense,2020-01-15,34357
Taxes,2020-01-15,19410
Poverty,2020-01-15,8777
Healthcare,2020-01-15,41203
Economic Inequality,2020-01-15,2959
Civil Rights & Discrimination,2020-01-15,52388
Labor Rights ,2020-01-15,10959
Education & Student Debt,2020-01-15,30595
Economy,2020-01-16,16727
Climate and Energy,2020-01-16,9479
Defense,2020-01-16,24100
Taxes,2020-01-16,30821
Poverty,2020-01-16,5968
Healthcare,2020-01-16,20288
Economic Inequality,2020-01-16,1705
Civil Rights & Discrimination,2020-01-16,23147
Labor Rights ,2020-01-16,3786
Education & Student Debt,2020-01-16,48426
Economy,2020-01-17,43210
Climate and Energy,2020-01-17,5241
Defense,2020-01-17,25003
Taxes,2020-01-17,39047
Poverty,2020-01-17,5065
Healthcare,2020-01-17,25278
Economic Inequality,2020-01-17,1529
Civil Rights & Discrimination,2020-01-17,18583
Labor Rights ,2020-01-17,2131
Education & Student Debt,2020-01-17,24526
Economy,2020-01-18,22244
Climate and Energy,2020-01-18,4940
Defense,2020-01-18,6821
Taxes,2020-01-18,14294
Poverty,2020-01-18,10633
Healthcare,2020-01-18,18307
Economic Inequality,2020-01-18,2808
Civil Rights & Discrimination,2020-01-18,23398
Labor Rights ,2020-01-18,5943
Education & Student Debt,2020-01-18,17554
Economy,2020-01-19,14369
Climate and Energy,2020-01-19,4689
Defense,2020-01-19,5818
Taxes,2020-01-19,14269
Poverty,2020-01-19,5692
Healthcare,2020-01-19,13492
Economic Inequality,2020-01-19,3937
Civil Rights & Discrimination,2020-01-19,23097
Labor Rights ,2020-01-19,5341
Education & Student Debt,2020-01-19,21090
Economy,2020-01-20,25153
Climate and Energy,2020-01-20,6369
Defense,2020-01-20,4363
Taxes,2020-01-20,10683
Poverty,2020-01-20,9905
Healthcare,2020-01-20,11711
Economic Inequality,2020-01-20,3184
Civil Rights & Discrimination,2020-01-20,35260
Labor Rights ,2020-01-20,3761
Education & Student Debt,2020-01-20,17630
Economy,2020-01-21,19235
Climate and Energy,2020-01-21,18231
Defense,2020-01-21,6645
Taxes,2020-01-21,6595
Poverty,2020-01-21,6695
Healthcare,2020-01-21,15799
Economic Inequality,2020-01-21,9554
Civil Rights & Discrimination,2020-01-21,20087
Labor Rights ,2020-01-21,2608
Education & Student Debt,2020-01-21,25956
Economy,2020-01-22,15021
Climate and Energy,2020-01-22,12539
Defense,2020-01-22,5667
Taxes,2020-01-22,10683
Poverty,2020-01-22,3310
Healthcare,2020-01-22,11786
Economic Inequality,2020-01-22,3962
Civil Rights & Discrimination,2020-01-22,10206
Labor Rights ,2020-01-22,3811
Education & Student Debt,2020-01-22,21316
Economy,2020-01-23,16927
Climate and Energy,2020-01-23,23899
Defense,2020-01-23,9730
Taxes,2020-01-23,9103
Poverty,2020-01-23,5868
Healthcare,2020-01-23,9354
Economic Inequality,2020-01-23,2231
Civil Rights & Discrimination,2020-01-23,11987
Labor Rights ,2020-01-23,1956
Education & Student Debt,2020-01-23,36539
Economy,2020-01-24,13768
Climate and Energy,2020-01-24,27360
Defense,2020-01-24,9454
Taxes,2020-01-24,8326
Poverty,2020-01-24,3636
Healthcare,2020-01-24,10332
Economic Inequality,2020-01-24,1755
Civil Rights & Discrimination,2020-01-24,25880
Labor Rights ,2020-01-24,5567
Education & Student Debt,2020-01-24,25304
Economy,2020-01-25,27084
Climate and Energy,2020-01-25,16175
Defense,2020-01-25,5442
Taxes,2020-01-25,11561
Poverty,2020-01-25,6645
Healthcare,2020-01-25,17429
Economic Inequality,2020-01-25,2106
Civil Rights & Discrimination,2020-01-25,40702
Labor Rights ,2020-01-25,2006
Education & Student Debt,2020-01-25,29843
Economy,2020-01-26,18282
Climate and Energy,2020-01-26,7949
Defense,2020-01-26,6068
Taxes,2020-01-26,12388
Poverty,2020-01-26,5868
Healthcare,2020-01-26,12037
Economic Inequality,2020-01-26,7322
Civil Rights & Discrimination,2020-01-26,21893
Labor Rights ,2020-01-26,1028
Education & Student Debt,2020-01-26,24476
Economy,2020-01-27,24702
Climate and Energy,2020-01-27,5366
Defense,2020-01-27,9304
Taxes,2020-01-27,13592
Poverty,2020-01-27,5617
Healthcare,2020-01-27,15398
Economic Inequality,2020-01-27,1981
Civil Rights & Discrimination,2020-01-27,15097
Labor Rights ,2020-01-27,5040
Education & Student Debt,2020-01-27,10131
Economy,2020-01-28,16652
Climate and Energy,2020-01-28,18808
Defense,2020-01-28,14420
Taxes,2020-01-28,18357
Poverty,2020-01-28,9529
Healthcare,2020-01-28,17404
Economic Inequality,2020-01-28,1630
Civil Rights & Discrimination,2020-01-28,15949
Labor Rights ,2020-01-28,4815
Education & Student Debt,2020-01-28,15147
Economy,2020-01-29,20614
Climate and Energy,2020-01-29,16551
Defense,2020-01-29,7072
Taxes,2020-01-29,11360
Poverty,2020-01-29,9003
Healthcare,2020-01-29,24902
Economic Inequality,2020-01-29,2658
Civil Rights & Discrimination,2020-01-29,25354
Labor Rights ,2020-01-29,3009
Education & Student Debt,2020-01-29,34332
Economy,2020-01-30,21918
Climate and Energy,2020-01-30,12815
Defense,2020-01-30,5868
Taxes,2020-01-30,7974
Poverty,2020-01-30,6068
Healthcare,2020-01-30,23172
Economic Inequality,2020-01-30,5592
Civil Rights & Discrimination,2020-01-30,37943
Labor Rights ,2020-01-30,3987
Education & Student Debt,2020-01-30,44188
Economy,2020-01-31,15423
Climate and Energy,2020-01-31,10608
Defense,2020-01-31,7222
Taxes,2020-01-31,8576
Poverty,2020-01-31,5542
Healthcare,2020-01-31,18858
Economic Inequality,2020-01-31,4338
Civil Rights & Discrimination,2020-01-31,25203
Labor Rights ,2020-01-31,3310
Education & Student Debt,2020-01-31,9680
Economy,2020-02-01,18658
Climate and Energy,2020-02-01,5717
Defense,2020-02-01,17003
Taxes,2020-02-01,10407
Poverty,2020-02-01,4840
Healthcare,2020-02-01,13166
Economic Inequality,2020-02-01,2833
Civil Rights & Discrimination,2020-02-01,26307
Labor Rights ,2020-02-01,2909
Education & Student Debt,2020-02-01,12313
Economy,2020-02-02,24401
Climate and Energy,2020-02-02,23297
Defense,2020-02-02,7799
Taxes,2020-02-02,12614
Poverty,2020-02-02,3836
Healthcare,2020-02-02,13617
Economic Inequality,2020-02-02,2557
Civil Rights & Discrimination,2020-02-02,28012
Labor Rights ,2020-02-02,2482
Education & Student Debt,2020-02-02,17705
Economy,2020-02-03,24526
