document,topic,gamma,text
65,10,0.993304504,Secondly it will require middleclass taxes to go up not down. Thirdly it will eliminate employerbased insurance. And fourthly what happens in the meantime?
80,10,0.72520473,And lastly here's the deal. The deal is let's figure out how this works. We immediately are able to cover everybody who wants to get off of their insurance plan they don't like no matter what one it is and buy into a Medicare option. And they can buy the gold plan
91,10,0.898283932,I agree.
110,10,0.898283932, I'm sorry 
156,10,0.577783102, I opposed the surge in Afghanistan this long overdue  we should have not in fact gone into Afghanistan the way
161,10,0.99691127, You know when President Kennedy announced the moon shot he used a phrase that sticks with me my whole life. He said we're doing it because we refuse to postpone. Well I refuse to postpone one more minute spending billions of dollars on curing cancer Alzheimer's
171,10,0.99241929,Number two the fact of the matter is we're in a situation where if you notice he hasn't answered the question. This is about candor honesty
193,10,0.997458827,We ' I'm the guy that put in the drug courts to divert people from the criminal justice system. And so we have to change the whole way we look at this. When we put people in prison we have to equip them that when they get out ' nobody who got in prison for marijuana for example immediately upon being released ' they shouldn't be in there; that should be a misdemeanor. They should be out and their record should be expunged. Every single right should be returned.
197,10,0.995436198, Because I got it done before. I'm the only one up here that's ever beat the NRA 'only one ever to beat the NRA nationally. I'm the guy that brought the Brady bill into ' into focus and became law.
198,10,0.99691127,And so that's number one. Number two after Sandy Hook a number of things happened. It went from a cause to a movement. Look what's happened now. Mothers ' the organization ' mothers against violence ' gun violence. We've seen what's happened again. Now we have all these young people marching on Washington making sure that things are going to change.
209,10,0.898283932, Go beat them.
216,10,0.821892302, Yeah but you didn't answer the question.
217,10,0.963331876, Well I did answer the question.
219,10,0.963331876, No did you make a mistake with those deportations?
241,10,0.99691127,With regard to ' with regard to Iraq the fact of the matter is that you know I should have never voted to give Bush the authority to go in and do what he said he was going to do. The AUMF was designed he said to go in and get the Security Council to vote 150 to allow inspectors to go in to determine whether or not anything was being done with chemical weapons or nuclear weapons. And when that happened
245,10,0.888221893,My son spent a year in Iraq and I understand. It made ' and we were right to get the combat troops out. The big mistake that was made which we predicted was that you would not have a circumstance where the Shia and the Kurds would work together to keep ISIS from coming ' from moving in.
252,10,0.995436198,Because here's the deal. The deal is that we've got this a little backwards. And by the way in Venezuela we should be allowing people to come here from Venezuela. I know Maduro. I've confronted Maduro.
256,10,0.898283932, I'm sorry.
257,10,0.995041532, There's setbacks and there's setbacks. And I think the most critical setback that can occur to anyone is to lose ' well my dad had an expression. He said Joey it's not a question of succeeding whether you get knocked down
262,10,0.994004598, Yes they have. I said from the beginning that if in fact Trump continued to stonewall what the Congress is entitled to know about his background what he did all the accusations in the Mueller Report
270,10,0.995041532,My son made a judgment. I'm proud of the judgement he made. I'm proud of what he had to say. And let's focus on this. The fact of the matter is that this is about Trump's corruption. That's what we should be focusing on.
280,10,0.898283932, See I'm doing the same thing.
286,10,0.99691127, I think I maybe  it doesn't make me any better or worse but maybe the only person who spent extensive time alone with Putin as well as with Erdogan. And Erdogan understands that  you talk about should he stay in or out of NATO  he understands if he's out of NATO he's in real trouble.
288,10,0.996062934,"Think what's happened. The fact of the matter is you have Russia influencing and trying to break up NATO. What does the president do? He says ""I believe Vladimir Putin. I believe Vladimir Putin. I don't believe our intelligence community."""
292,10,0.991264347,And lastly and I apologize for going on but lastly what is happening in Iraq is going to  I mean excuse me in Afghanistan
293,10,0.995772669, I'm the only one on this stage who has taken on the NRA and beat them and beat them twice. We were able to get assault weapons off the streets and not be able to be sold for 10 years. Recent studies show that mass violence went down when that occurred.
297,10,0.997069151,Look one of the reasons I'm running is because of my age and my experience. With it comes wisdom. We need someone to take office this time around who on day one can stand on the world stage command the respect of world leaders from Putin to our allies and know exactly what has to be done to get this country back on track.
300,10,0.898283932, Before the first vote.
302,10,0.99241929, Well before Iowa. I mean look I've released them before. I released 55 pages of my  I'm the only guy that's released anything up here.
303,10,0.995041532, I would not get into court packing. We had three justices. Next time around we lose control they add three justices. We begin to lose any credibility the court has at all.
307,10,0.898283932,And by the way if in fact at the end of this  beginning next year if in fact
318,10,0.994572145, I agree. Let me  she d me. I agreed with the great job she did and I went on the floor and got you votes. I got votes for that bill. I convinced people to vote for it. So let's get those things straight too.
331,10,0.995772669,Secondly I found out that Vladimir Putin doesn't want me to be president. So I  I've learned a lot about these things early on from these hearings that  that are being held. But the bottom line is I think we have to ask ourselves the honest question:
350,10,0.996062934,And in Japan and Australia and being a Pacific power and putting pressure on China in order  for them to make sure that it is a non  it is a nuclearfree peninsula. And the way we do that is we make clear to China which I have done personally with  with the president of China and that is we're going to move up our defenses
360,10,0.994004598,But I do think it makes sense based on data that we should study what the longterm effects are for the use of marijuana. That's all it is. Number one everybody gets out record expunged.
394,10,0.993304504,We should be going to the U.N. immediately and sought sanctions against them in the United Nations for what they did. We have to be firm. We don't have to go to war. But we have to make it clear this is as far as you go China.
395,10,0.993304504,And in terms of their military buildup it's real. But it would take them about 17 years to build up to where we are. We're not looking for a war. But we've got to make clear we are a Pacific power and we are not going to back away.
401,10,0.987436035,And that's what  that's the reason I'm running. I have more experience in doing that than anybody on this stage.
408,10,0.963331876, My average contributions is $43 number one. That's number one.
416,10,0.898283932, Afghanistan you said?
417,10,0.99691127, The reason I can speak to this  it's wellknown if any of you followed it my view on Afghanistan  I was sent by the president before we got sworn in to Afghanistan to come back with a report. I said there was no comprehensive policy available. And then I got in a big fight for a long time with the Pentagon because I strongly opposed the nationbuilding notion we set about.
426,10,0.58494926, I know. So look it covers everybody. It's realistic. And most importantly it lets you choose what you want. Here you have 160 million people who negotiated their health care plans with their employer like many of you have. You may or may not like it. If you don't like it you can move into the public option that I propose in my plan. But if you like it
441,10,0.996735411,And thirdly who can deliver legislatively? That requires you to look at our records. I have a significant record of getting significant things done from Violence Against Women Act to the chemical weapons treaty in foreign and domestic policy alike.
